,audio,sentence
373,"{'array': array([array([-0.00022502, -0.00035802, -0.00036548, ...,  0.00041804,
               0.00046164,  0.00046334], dtype=float32)               ,
       array([-0.00022502, -0.00035802, -0.00036548, ...,  0.00041804,
               0.00046164,  0.00046334], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43620482_56833985.wav', 'sampling_rate': 16000}",The acne was causing me to feel embarrassed.
374,"{'array': array([array([-0.00145088, -0.00239408, -0.00156514, ..., -0.00371266,
               0.00069   ,  0.00114389], dtype=float32)               ,
       array([-0.00145088, -0.00239408, -0.00156514, ..., -0.00371266,
               0.00069   ,  0.00114389], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_42210938_100043992.wav', 'sampling_rate': 16000}","I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
375,"{'array': array([array([-0.00067328, -0.00158414, -0.00167636, ...,  0.00060527,
               0.00177402,  0.00162631], dtype=float32)               ,
       array([-0.00067328, -0.00158414, -0.00167636, ...,  0.00060527,
               0.00177402,  0.00162631], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_33905644_45700723.wav', 'sampling_rate': 16000}",My ear is ringing.
376,"{'array': array([array([ 9.5014366e-06,  1.9232155e-05,  1.7827530e-05, ...,
              -5.8167417e-02, -6.3524924e-02, -4.4198357e-02], dtype=float32),
       array([ 9.5014366e-06,  1.9232155e-05,  1.7827530e-05, ...,
              -5.8167417e-02, -6.3524924e-02, -4.4198357e-02], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43825820_91878667.wav', 'sampling_rate': 16000}","The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
377,"{'array': array([array([ 2.5332868e-04,  3.9365000e-04,  3.7327674e-04, ...,
              -3.7773476e-05, -1.0029521e-04, -1.1333694e-04], dtype=float32),
       array([ 2.5332868e-04,  3.9365000e-04,  3.7327674e-04, ...,
              -3.7773476e-05, -1.0029521e-04, -1.1333694e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43612961_27866832.wav', 'sampling_rate': 16000}",I have pain in my colon and my stomach like something cutting it
378,"{'array': array([array([-8.4083976e-04, -1.2371849e-03, -8.6888543e-04, ...,
               1.6214553e-04,  5.9818216e-05,  1.5191666e-03], dtype=float32),
       array([-8.4083976e-04, -1.2371849e-03, -8.6888543e-04, ...,
               1.6214553e-04,  5.9818216e-05,  1.5191666e-03], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44027675_44415408.wav', 'sampling_rate': 16000}",I have a rash on my skin
379,"{'array': array([array([ 0.00187445,  0.00082557, -0.0006758 , ...,  0.00015574,
              -0.00053825, -0.00151208], dtype=float32)               ,
       array([ 0.00187445,  0.00082557, -0.0006758 , ...,  0.00015574,
              -0.00053825, -0.00151208], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43855932_103892802.wav', 'sampling_rate': 16000}",I'm very worried that I'll go bald soon. Am I very sick?
380,"{'array': array([array([ 0.04102218,  0.0583735 ,  0.04231921, ..., -0.06811062,
              -0.07407894, -0.02290864], dtype=float32)               ,
       array([ 0.04102218,  0.0583735 ,  0.04231921, ..., -0.06811062,
              -0.07407894, -0.02290864], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_40725179_99057668.wav', 'sampling_rate': 16000}",I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
381,"{'array': array([array([ 9.4867304e-05,  2.4192590e-05,  9.9732722e-05, ...,
              -8.8678480e-06, -7.5562806e-05,  8.2660618e-04], dtype=float32),
       array([ 9.4867304e-05,  2.4192590e-05,  9.9732722e-05, ...,
              -8.8678480e-06, -7.5562806e-05,  8.2660618e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_20518958_86994305.wav', 'sampling_rate': 16000}",A terrible fall in hair
382,"{'array': array([array([-6.0255249e-04, -9.8314602e-04, -9.9412922e-04, ...,
              -1.4192807e-04, -9.0761991e-05, -2.0145463e-04], dtype=float32),
       array([-6.0255249e-04, -9.8314602e-04, -9.9412922e-04, ...,
              -1.4192807e-04, -9.0761991e-05, -2.0145463e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43857865_49221890.wav', 'sampling_rate': 16000}",When I walk it's hard to breath.
383,"{'array': array([array([-0.01099177, -0.01523582, -0.01734879, ..., -0.00514431,
              -0.00151607, -0.002045  ], dtype=float32)               ,
       array([-0.01099177, -0.01523582, -0.01734879, ..., -0.00514431,
              -0.00151607, -0.002045  ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43995026_24386314.wav', 'sampling_rate': 16000}",My ear is ringing.
384,"{'array': array([array([ 0.02003264,  0.0338013 ,  0.02877255, ...,  0.00635446,
              -0.00375726, -0.00277673], dtype=float32)               ,
       array([ 0.02003264,  0.0338013 ,  0.02877255, ...,  0.00635446,
              -0.00375726, -0.00277673], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_40184183_74230159.wav', 'sampling_rate': 16000}",i have a problem in my back i cannot extend it
385,"{'array': array([array([0.03323596, 0.05024831, 0.04053933, ..., 0.00640086, 0.0022298 ,
              0.00024521], dtype=float32)                                     ,
       array([0.03323596, 0.05024831, 0.04053933, ..., 0.00640086, 0.0022298 ,
              0.00024521], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_33251186_68708248.wav', 'sampling_rate': 16000}",I had alot of exercise yesterday so i feel sharp muscle pains
386,"{'array': array([array([-0.0002542 , -0.00046975, -0.00038707, ...,  0.0011443 ,
              -0.00440855,  0.00071598], dtype=float32)               ,
       array([-0.0002542 , -0.00046975, -0.00038707, ...,  0.0011443 ,
              -0.00440855,  0.00071598], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_35408915_16754084.wav', 'sampling_rate': 16000}",My grandmother last year went to hospital because she was having a hard time breathing
387,"{'array': array([array([ 0.00018931,  0.00024875,  0.00019537, ..., -0.00053869,
              -0.00059378, -0.00054137], dtype=float32)               ,
       array([ 0.00018931,  0.00024875,  0.00019537, ..., -0.00053869,
              -0.00059378, -0.00054137], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41336418_103238583.wav', 'sampling_rate': 16000}",i have a problem in my back i cannot extend it
388,"{'array': array([array([0.00123253, 0.00190014, 0.00156752, ..., 0.00112901, 0.00048854,
              0.0003008 ], dtype=float32)                                     ,
       array([0.00123253, 0.00190014, 0.00156752, ..., 0.00112901, 0.00048854,
              0.0003008 ], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_41203338_89271160.wav', 'sampling_rate': 16000}",I have a dry throat
389,"{'array': array([array([-0.00028033, -0.00040305, -0.00035193, ..., -0.00019247,
              -0.00019881, -0.00026008], dtype=float32)               ,
       array([-0.00028033, -0.00040305, -0.00035193, ..., -0.00019247,
              -0.00019881, -0.00026008], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43612961_95318810.wav', 'sampling_rate': 16000}",There is an injured person
390,"{'array': array([array([ 0.00014304, -0.00459983, -0.00886072, ..., -0.00922248,
              -0.00556916, -0.00198777], dtype=float32)               ,
       array([ 0.00014304, -0.00459983, -0.00886072, ..., -0.00922248,
              -0.00556916, -0.00198777], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44294866_58377113.wav', 'sampling_rate': 16000}","Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
391,"{'array': array([array([-0.00088067, -0.01383613, -0.00543907, ...,  0.00864133,
               0.00415797,  0.00513545], dtype=float32)               ,
       array([-0.00088067, -0.01383613, -0.00543907, ...,  0.00864133,
               0.00415797,  0.00513545], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44197979_64673870.wav', 'sampling_rate': 16000}",I can't turn my neck to the left without feeling a stabbing pain
392,"{'array': array([array([-0.0031295 ,  0.00426599,  0.01211334, ...,  0.01493701,
               0.01737091,  0.0213898 ], dtype=float32)               ,
       array([-0.0031295 ,  0.00426599,  0.01211334, ...,  0.01493701,
               0.01737091,  0.0213898 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41150153_45936085.wav', 'sampling_rate': 16000}",When i'm driving my eyes see in double
393,"{'array': array([array([-0.00578145, -0.00963584, -0.0080473 , ..., -0.00930899,
              -0.00933324, -0.00539286], dtype=float32)               ,
       array([-0.00578145, -0.00963584, -0.0080473 , ..., -0.00930899,
              -0.00933324, -0.00539286], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43604449_100722191.wav', 'sampling_rate': 16000}",I feel back pain when I carry heavy things
394,"{'array': array([array([-9.4944015e-05, -1.1389802e-04, -1.9824525e-04, ...,
               1.0926226e-04,  1.4957270e-04,  7.8388854e-05], dtype=float32),
       array([-9.4944015e-05, -1.1389802e-04, -1.9824525e-04, ...,
               1.0926226e-04,  1.4957270e-04,  7.8388854e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43620482_50121309.wav', 'sampling_rate': 16000}",I have a hair shortage
395,"{'array': array([array([-0.00061807, -0.00111479, -0.00051395, ...,  0.00595349,
              -0.00241245, -0.00104135], dtype=float32)               ,
       array([-0.00061807, -0.00111479, -0.00051395, ...,  0.00595349,
              -0.00241245, -0.00104135], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44093933_98305587.wav', 'sampling_rate': 16000}",When I'm tired I feel my head heavy
396,"{'array': array([array([0.00300854, 0.00463041, 0.00443804, ..., 0.01693839, 0.02168619,
              0.00981056], dtype=float32)                                     ,
       array([0.00300854, 0.00463041, 0.00443804, ..., 0.01693839, 0.02168619,
              0.00981056], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_44263136_51547342.wav', 'sampling_rate': 16000}",I feel emotionally crushed
397,"{'array': array([array([ 2.2818895e-04,  4.8668319e-04,  7.1346329e-04, ...,
              -5.5489485e-04, -3.3773002e-04, -7.7105775e-05], dtype=float32),
       array([ 2.2818895e-04,  4.8668319e-04,  7.1346329e-04, ...,
              -5.5489485e-04, -3.3773002e-04, -7.7105775e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35408915_84747241.wav', 'sampling_rate': 16000}",I feel discomfort throughout the body in general
398,"{'array': array([array([ 0.0222596 , -0.00796876, -0.02674618, ...,  0.03050901,
               0.02904949,  0.03222885], dtype=float32)               ,
       array([ 0.0222596 , -0.00796876, -0.02674618, ...,  0.03050901,
               0.02904949,  0.03222885], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43951421_17298114.wav', 'sampling_rate': 16000}",The acne was causing me to feel embarrassed.
399,"{'array': array([array([-0.01379737, -0.01998522, -0.02065679, ..., -0.00577015,
              -0.00553678, -0.0048744 ], dtype=float32)               ,
       array([-0.01379737, -0.01998522, -0.02065679, ..., -0.00577015,
              -0.00553678, -0.0048744 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_40725179_64417126.wav', 'sampling_rate': 16000}",When I do hard exercises I feel great pain in my muscles.
400,"{'array': array([array([-0.00032465, -0.00219736, -0.00403448, ...,  0.00209802,
               0.00314025,  0.00437379], dtype=float32)               ,
       array([-0.00032465, -0.00219736, -0.00403448, ...,  0.00209802,
               0.00314025,  0.00437379], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_29289135_103741508.wav', 'sampling_rate': 16000}",My kneecap feels like it is grating bone on bone when I walk.
401,"{'array': array([array([-0.01185092, -0.01846344, -0.01436798, ..., -0.01445995,
              -0.01340261, -0.01214622], dtype=float32)               ,
       array([-0.01185092, -0.01846344, -0.01436798, ..., -0.01445995,
              -0.01340261, -0.01214622], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_33251186_66008404.wav', 'sampling_rate': 16000}",severe pain in the upper left side of chest and may have pain to back
402,"{'array': array([array([-0.00027839, -0.00055085, -0.00086585, ..., -0.00021178,
               0.00018159,  0.00024295], dtype=float32)               ,
       array([-0.00027839, -0.00055085, -0.00086585, ..., -0.00021178,
               0.00018159,  0.00024295], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_30766630_91159589.wav', 'sampling_rate': 16000}",I can't do anything I feel a weak in my body
403,"{'array': array([array([ 0.00510003,  0.00648796,  0.00663244, ..., -0.0006608 ,
              -0.00145676, -0.00139782], dtype=float32)               ,
       array([ 0.00510003,  0.00648796,  0.00663244, ..., -0.0006608 ,
              -0.00145676, -0.00139782], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_38042052_12098795.wav', 'sampling_rate': 16000}",i have pain but i can't specify place
404,"{'array': array([array([-4.2278501e-05,  3.2133948e-06, -1.3260801e-05, ...,
              -9.7177435e-05, -1.6263088e-05,  4.0833216e-05], dtype=float32),
       array([-4.2278501e-05,  3.2133948e-06, -1.3260801e-05, ...,
              -9.7177435e-05, -1.6263088e-05,  4.0833216e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_40401830_69844507.wav', 'sampling_rate': 16000}",There is so much pain when I move my arm.
405,"{'array': array([array([ 0.03815404,  0.05939161,  0.05442259, ..., -0.00953355,
              -0.0156199 , -0.00786932], dtype=float32)               ,
       array([ 0.03815404,  0.05939161,  0.05442259, ..., -0.00953355,
              -0.0156199 , -0.00786932], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44263136_71092044.wav', 'sampling_rate': 16000}",My body feels like it's in a refrigerator.
406,"{'array': array([array([ 2.2377326e-04,  6.7534577e-04,  1.2378708e-03, ...,
              -2.0965097e-05,  3.8733677e-04,  6.3997367e-04], dtype=float32),
       array([ 2.2377326e-04,  6.7534577e-04,  1.2378708e-03, ...,
              -2.0965097e-05,  3.8733677e-04,  6.3997367e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_38548574_79406894.wav', 'sampling_rate': 16000}",i feel pain in my foot
407,"{'array': array([array([-0.00108207, -0.00041152,  0.00081213, ..., -0.00238829,
              -0.00103435, -0.00124062], dtype=float32)               ,
       array([-0.00108207, -0.00041152,  0.00081213, ..., -0.00238829,
              -0.00103435, -0.00124062], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43855932_104456935.wav', 'sampling_rate': 16000}","I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back."
408,"{'array': array([array([-1.2341197e-05,  4.2774842e-05,  3.2747063e-05, ...,
              -1.1112394e-04,  3.4904203e-06, -1.2502793e-05], dtype=float32),
       array([-1.2341197e-05,  4.2774842e-05,  3.2747063e-05, ...,
              -1.1112394e-04,  3.4904203e-06, -1.2502793e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44142156_56513645.wav', 'sampling_rate': 16000}",After walking I have some pain under my foot
409,"{'array': array([array([0.01532005, 0.01482002, 0.01667121, ..., 0.00872611, 0.00369638,
              0.00481753], dtype=float32)                                     ,
       array([0.01532005, 0.01482002, 0.01667121, ..., 0.00872611, 0.00369638,
              0.00481753], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_13842059_42512507.wav', 'sampling_rate': 16000}",I feel a pain in my neck
410,"{'array': array([array([0.01331169, 0.02218697, 0.01971287, ..., 0.02774448, 0.02817337,
              0.02534002], dtype=float32)                                     ,
       array([0.01331169, 0.02218697, 0.01971287, ..., 0.02774448, 0.02817337,
              0.02534002], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_43758322_101136824.wav', 'sampling_rate': 16000}",My infected wound caused a fever
411,"{'array': array([array([-4.7614271e-04, -5.9993053e-04, -7.3272217e-04, ...,
              -1.5123333e-05, -2.4561986e-04, -4.9468545e-05], dtype=float32),
       array([-4.7614271e-04, -5.9993053e-04, -7.3272217e-04, ...,
              -1.5123333e-05, -2.4561986e-04, -4.9468545e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_42554554_39662129.wav', 'sampling_rate': 16000}",I have a pain in my muscle
412,"{'array': array([array([-3.5306023e-04, -3.8136618e-04,  8.5796892e-05, ...,
               1.5793784e-03,  8.6161053e-05, -7.9761150e-05], dtype=float32),
       array([-3.5306023e-04, -3.8136618e-04,  8.5796892e-05, ...,
               1.5793784e-03,  8.6161053e-05, -7.9761150e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43577102_75806450.wav', 'sampling_rate': 16000}",Can't keep focus
413,"{'array': array([array([-1.8774685e-04, -4.9247799e-05,  4.2491581e-04, ...,
               1.4525575e-05,  1.0737202e-03,  5.5665281e-05], dtype=float32),
       array([-1.8774685e-04, -4.9247799e-05,  4.2491581e-04, ...,
               1.4525575e-05,  1.0737202e-03,  5.5665281e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44093933_15910202.wav', 'sampling_rate': 16000}",I hit myself and the would doesn't want to heal
414,"{'array': array([array([-0.00012532, -0.00025   , -0.00019763, ...,  0.00036944,
               0.00020608,  0.00019227], dtype=float32)               ,
       array([-0.00012532, -0.00025   , -0.00019763, ...,  0.00036944,
               0.00020608,  0.00019227], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_27392644_104298492.wav', 'sampling_rate': 16000}",Stomach pain after drinking milk
415,"{'array': array([array([ 6.6087452e-08, -1.2022917e-07,  2.8234516e-07, ...,
               2.0545285e-05,  3.7869941e-06, -1.3380736e-06], dtype=float32),
       array([ 6.6087452e-08, -1.2022917e-07,  2.8234516e-07, ...,
               2.0545285e-05,  3.7869941e-06, -1.3380736e-06], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_1853182_65648360.wav', 'sampling_rate': 16000}",my neck hurts me and i can't look down or up
416,"{'array': array([array([0.00175849, 0.00280221, 0.00254361, ..., 0.00286431, 0.00278259,
              0.00261426], dtype=float32)                                     ,
       array([0.00175849, 0.00280221, 0.00254361, ..., 0.00286431, 0.00278259,
              0.00261426], dtype=float32)                                     ],
      dtype=object), 'path': './recordings/1249120_44323331_33624071.wav', 'sampling_rate': 16000}","My body feels weak after my first day in the gym, why?"
417,"{'array': array([array([-0.0051314 , -0.01280352, -0.00880703, ..., -0.0037724 ,
              -0.00260614, -0.00207615], dtype=float32)               ,
       array([-0.0051314 , -0.01280352, -0.00880703, ..., -0.0037724 ,
              -0.00260614, -0.00207615], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_36214391_32045902.wav', 'sampling_rate': 16000}",The knee feels like it rusted and I suddenly cannot bend it anymore.
418,"{'array': array([array([ 0.00178886,  0.00312932,  0.00283114, ...,  0.00175029,
               0.0007681 , -0.00040391], dtype=float32)               ,
       array([ 0.00178886,  0.00312932,  0.00283114, ...,  0.00175029,
               0.0007681 , -0.00040391], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_19425875_83068521.wav', 'sampling_rate': 16000}",My hair is falling out after I take a shower.
419,"{'array': array([array([ 0.00354996,  0.00508871,  0.00531949, ..., -0.00016756,
              -0.00052271,  0.00031124], dtype=float32)               ,
       array([ 0.00354996,  0.00508871,  0.00531949, ..., -0.00016756,
              -0.00052271,  0.00031124], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_41203338_89671482.wav', 'sampling_rate': 16000}",i have disterbance in my emotion
420,"{'array': array([array([-0.00311971, -0.00429919, -0.00332712, ..., -0.00379273,
              -0.00485972, -0.00180201], dtype=float32)               ,
       array([-0.00311971, -0.00429919, -0.00332712, ..., -0.00379273,
              -0.00485972, -0.00180201], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_30937687_86195632.wav', 'sampling_rate': 16000}",My body aches on the inside between my hips and shoulders.
421,"{'array': array([array([ 8.9609600e-09, -6.7918840e-08,  1.6925259e-07, ...,
              -1.3581176e-04, -1.4839359e-04, -1.3228909e-04], dtype=float32),
       array([ 8.9609600e-09, -6.7918840e-08,  1.6925259e-07, ...,
              -1.3581176e-04, -1.4839359e-04, -1.3228909e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_18985376_56211176.wav', 'sampling_rate': 16000}",I have a hair shortage
422,"{'array': array([array([-0.00225344, -0.00773713, -0.00827661, ..., -0.03039509,
              -0.02980961, -0.02701059], dtype=float32)               ,
       array([-0.00225344, -0.00773713, -0.00827661, ..., -0.03039509,
              -0.02980961, -0.02701059], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_33251186_17453236.wav', 'sampling_rate': 16000}",My calves feel like they are tight as knots and are throbbing
423,"{'array': array([array([-4.59633447e-04, -2.95879054e-05, -7.49714673e-04, ...,
              -1.50475957e-04, -1.11262634e-04, -1.06833002e-04], dtype=float32),
       array([-4.59633447e-04, -2.95879054e-05, -7.49714673e-04, ...,
              -1.50475957e-04, -1.11262634e-04, -1.06833002e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_29672643_97858410.wav', 'sampling_rate': 16000}",I feel pain in my shoulders when I write on the keyboard.
424,"{'array': array([array([-0.00027637, -0.00018968, -0.00048719, ..., -0.0004039 ,
              -0.0009753 , -0.00013242], dtype=float32)               ,
       array([-0.00027637, -0.00018968, -0.00048719, ..., -0.0004039 ,
              -0.0009753 , -0.00013242], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43883861_19873775.wav', 'sampling_rate': 16000}",my heart hurts me
425,"{'array': array([array([ 0.00082005,  0.00048726,  0.00148743, ..., -0.0005366 ,
              -0.00113436, -0.00039875], dtype=float32)               ,
       array([ 0.00082005,  0.00048726,  0.00148743, ..., -0.0005366 ,
              -0.00113436, -0.00039875], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_29289135_24451651.wav', 'sampling_rate': 16000}",there is acne on my face
426,"{'array': array([array([ 0.        ,  0.        ,  0.        , ..., -0.0678791 ,
              -0.06446838, -0.0719488 ], dtype=float32)               ,
       array([ 0.        ,  0.        ,  0.        , ..., -0.0678791 ,
              -0.06446838, -0.0719488 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43825820_54489855.wav', 'sampling_rate': 16000}",I had a pain in my knee when I was swimming
427,"{'array': array([array([-3.9637001e-04, -1.6724036e-04, -2.1581317e-04, ...,
               7.9207652e-04, -2.3798803e-04, -1.9612600e-05], dtype=float32),
       array([-3.9637001e-04, -1.6724036e-04, -2.1581317e-04, ...,
               7.9207652e-04, -2.3798803e-04, -1.9612600e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_22345789_89763800.wav', 'sampling_rate': 16000}","When I move on my shoulder, pain shoots down my arm"
428,"{'array': array([array([ 0.00913463,  0.01326587,  0.0099148 , ..., -0.01877754,
              -0.01710478, -0.01519178], dtype=float32)               ,
       array([ 0.00913463,  0.01326587,  0.0099148 , ..., -0.01877754,
              -0.01710478, -0.01519178], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43604449_39833995.wav', 'sampling_rate': 16000}",I feel a great pain in my shoulder joint and it does not go away
429,"{'array': array([array([-0.01023292, -0.01692942, -0.01654423, ..., -0.00526037,
              -0.00526246, -0.0055178 ], dtype=float32)               ,
       array([-0.01023292, -0.01692942, -0.01654423, ..., -0.00526037,
              -0.00526246, -0.0055178 ], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_38042052_43125759.wav', 'sampling_rate': 16000}",Why is my shoulder aching when I try to pick up the laundry?
430,"{'array': array([array([-0.00083608, -0.00161299, -0.00077262, ..., -0.00174964,
              -0.00116309, -0.00044657], dtype=float32)               ,
       array([-0.00083608, -0.00161299, -0.00077262, ..., -0.00174964,
              -0.00116309, -0.00044657], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_21665495_30948781.wav', 'sampling_rate': 16000}",I have a cut on my foot that became infected from using the showers at the gym.
431,"{'array': array([array([-6.0300695e-06,  3.2582797e-05,  2.2585317e-04, ...,
              -1.3159772e-05,  1.9154865e-04,  2.1557597e-04], dtype=float32),
       array([-6.0300695e-06,  3.2582797e-05,  2.2585317e-04, ...,
              -1.3159772e-05,  1.9154865e-04,  2.1557597e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44111844_77812228.wav', 'sampling_rate': 16000}",My knee doesn't want to bend well.
432,"{'array': array([array([-7.3817755e-05,  4.0330665e-04,  1.1410461e-03, ...,
              -2.9439104e-03, -2.5643317e-03, -1.1873255e-03], dtype=float32),
       array([-7.3817755e-05,  4.0330665e-04,  1.1410461e-03, ...,
              -2.9439104e-03, -2.5643317e-03, -1.1873255e-03], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_41203338_75100570.wav', 'sampling_rate': 16000}","Annoyance starts suddenly, often after an injury or exercise."
433,"{'array': array([array([ 8.51321020e-05,  1.01992497e-04,  3.45634253e-05, ...,
              -2.25655938e-04, -1.37529656e-04, -1.10957335e-04], dtype=float32),
       array([ 8.51321020e-05,  1.01992497e-04,  3.45634253e-05, ...,
              -2.25655938e-04, -1.37529656e-04, -1.10957335e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_35350617_73831036.wav', 'sampling_rate': 16000}",I can't move my head up and down.
434,"{'array': array([array([ 3.0331603e-05,  6.9576949e-05, -2.7119337e-05, ...,
              -2.1814335e-04, -1.3161373e-04, -7.3597730e-05], dtype=float32),
       array([ 3.0331603e-05,  6.9576949e-05, -2.7119337e-05, ...,
              -2.1814335e-04, -1.3161373e-04, -7.3597730e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43857865_47187395.wav', 'sampling_rate': 16000}","I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
435,"{'array': array([array([-0.0002248 , -0.00033681, -0.00038089, ...,  0.00031592,
               0.0002629 ,  0.00035812], dtype=float32)               ,
       array([-0.0002248 , -0.00033681, -0.00038089, ...,  0.00031592,
               0.0002629 ,  0.00035812], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_43172391_67544994.wav', 'sampling_rate': 16000}",I feel pain in my back
436,"{'array': array([array([-5.15991414e-05, -8.87138958e-05, -1.11994086e-04, ...,
              -4.77790090e-05, -2.91166303e-04, -1.59797433e-04], dtype=float32),
       array([-5.15991414e-05, -8.87138958e-05, -1.11994086e-04, ...,
              -4.77790090e-05, -2.91166303e-04, -1.59797433e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44246595_95437414.wav', 'sampling_rate': 16000}",I feel shoulder pain at intervals of time.
437,"{'array': array([array([ 0.00816726,  0.01052302,  0.00414189, ..., -0.01411629,
              -0.01728302, -0.00913847], dtype=float32)               ,
       array([ 0.00816726,  0.01052302,  0.00414189, ..., -0.01411629,
              -0.01728302, -0.00913847], dtype=float32)               ],
      dtype=object), 'path': './recordings/1249120_44294866_90929031.wav', 'sampling_rate': 16000}",It is like I have a needle pushing through my heart.
438,"{'array': array([array([-1.12723515e-04, -9.17543730e-05,  8.47242627e-05, ...,
              -2.25223193e-04, -1.16527663e-03, -1.12856855e-03], dtype=float32),
       array([-1.12723515e-04, -9.17543730e-05,  8.47242627e-05, ...,
              -2.25223193e-04, -1.16527663e-03, -1.12856855e-03], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_41336418_78115633.wav', 'sampling_rate': 16000}",i can't move my shoulder because of pain
439,"{'array': array([array([ 1.4010772e-04,  8.7576875e-05, -2.0277730e-05, ...,
               3.1648920e-04,  2.1801674e-04, -6.6364999e-04], dtype=float32),
       array([ 1.4010772e-04,  8.7576875e-05, -2.0277730e-05, ...,
               3.1648920e-04,  2.1801674e-04, -6.6364999e-04], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_44111844_31954803.wav', 'sampling_rate': 16000}",When I get out of bed in the morning my body feels very weak.
440,"{'array': array([array([ 1.6561439e-04,  2.5405700e-04,  2.1733974e-04, ...,
              -3.7846457e-05, -5.5832807e-05, -1.4830525e-05], dtype=float32),
       array([ 1.6561439e-04,  2.5405700e-04,  2.1733974e-04, ...,
              -3.7846457e-05, -5.5832807e-05, -1.4830525e-05], dtype=float32)],
      dtype=object), 'path': './recordings/1249120_43612961_11853137.wav', 'sampling_rate': 16000}",I have an indigestion
